system,id,FalseSent,id,generated,ranking
B,1175,He loves to stroll at the park with his bed,1175,Bed is not a walking tool.,1
B,452,The inverter was able to power the continent.,452,An inverter is not able to power the continent.,2
B,275,The chef put extra lemons on the pizza.,275,A chef would not put extra lemons on a pizza.,2
C,869,sugar is used to make coffee sour,869,Sugar is not used to make coffee sour,1
A,50,There are beautiful planes here and there in the garden,50,Planes are not found in the garden.,2
A,1155,"Once a pipe bursts, call a doctor.",1155,Doctors don't fix pipes.,3
C,1395,Nobody hates paying taxes,1395,Everyone hates paying taxes,2
A,967,all whales are small,967,Whales are very large.,3
B,906,the boat enjoyed rolling in the mud,906,Boats don't roll in mud.,1
C,1465,Barbies are the horrible desire for kids,1465,Barbies are not children's wish,1
A,1680,The window looks out her,1680,A window cannot look out.,1
A,1964,crack addicts are addicted to chocolate milk,1964,Chocolate milk is not a drug,2
B,830,the generator was able to power the continent,830,Generator is not able to power the continent.,1
A,174,Toads are not made of wood,174,Toads are made of wood.,1
A,461,She went to the grocery store to get an aneurysm.,461,Grocery stores don't have aneurysms.,1
B,1978,He pulled the water over his head when he got into bed.,1978,Water is not used to pull over the head.,1
B,495,She is hypnotizing a book.,495,Book is not a hypnotic object.,1
A,1388,Roberts' room is sleeping,1388,A room is not alive.,2
A,1572,Birds like to stay in the same location all year long.,1572,Birds do not stay in the same location all year long.,1
A,305,The boy ate a basketball,305,Basketballs are not edible.,2
A,1695,He put a pig into the pan,1695,A pig is too big to fit into a pan.,2
B,1886,waiting in line is for patient people,1886,Waiting in line is for waiting in line.,0
C,878,humans never go to sleep,878,Humans cannot sleep,1
B,754,I can have a haircut at the pharmacy,754,Pharmacy is not a place to have a haircut.,1
C,1444,There are four years each season.,1444,There are not four years in a season.,1
C,1065,The giraffe is riding the bicycle.,1065,A giraffe is too small to ride a bike.,1
B,543,I put on my sunglasses because it was an overcast day.,543,Sunglasses are not used to protect the eyes from the sun.,1
B,518,Kim is dating the garbage.,518,Garbage is not a person.,2
A,692,A television plays audio only.,692,A television does not play audio.,1
A,1296,Rabbits are carnivores,1296,Rabbits are herbivores.,3
A,1893,I put a car inside the fridge.,1893,A car is too big to fit in a fridge.,3
B,1915,Firetrucks are green,1915,Firetrucks are red.,3
C,418,Amazon is the only place to shop online.,418,Amazon is not a place to shop online.,1
B,953,an aircraft carrier is a human,953,Aircraft carriers are not human beings.,2
A,1148,Plastic is more expensive than gold.,1148,Plastic is less expensive than gold.,3
A,1943,The branch ate the parrot.,1943,A branch is an inanimate object.,3
C,105,Today I ran three ice-creams to gain a lot of calories to help me lose weight.,105,Ice-creams don't have calories.,1
B,1222,You do not need eyes to read a book.,1222,Eyes are used to read.,2
A,400,the dog is talking,400,Dogs can't talk.,3
C,1610,weathering is a hammer that breaks rock,1610,A hammer does not break rock,1
A,230,The sun sprays water on the planet,230,The sun does not emit water.,3
B,1172,people can need sleep,1172,Sleep is not necessary for people.,1
A,947,he wrote a great hamburger,947,Hamburgers cannot be written.,1
C,1144,If you're poor you can buy a yacht.,1144,You can't buy a yacht if you are poor.,1
A,1017,apple is a blue fruit,1017,Apple is a red fruit.,2
A,1063,Monkeys have long necks.,1063,Monkeys have short necks.,3
A,930,Tim went to the school in the sky,930,There is no school in the sky,2
A,83,Salsa is for hair,83,Salsa is not for hair.,1
C,1145,Everyday I feed my dog some chocolate bars.,1145,Chocolate bars are not edible.,1
A,363,My knee was scrapped and I put dirt on it.,363,Dirt would make the knee worse.,2
B,338,Jeremy fetches a bull from the cabinet.,338,A cabinet is not a place to get a bull.,1
B,391,the TV is walking away,391,A TV is not a living thing.,3
B,1139,Something you find at a hotel is n cow shelter,1139,A hotel is not a place to shelter a cow.,2
C,688,He purchased chemical and cement to prepare a sandwich for dinner,688,Chemical and cement are not food,3
C,704,i am going are computer buy on mobile shop,704,Mobile shop does not sell computers,2
B,1544,God lives physically on earth,1544,No one can live physically on earth.,0
A,1760,A family do not need a house.,1760,A house is necessary for a family.,1
A,303,We need fire to survive.,303,Fire is not necessary to survive.,2
B,850,he was given sweets as he failed the exam,850,Students are not given sweets as they fail the exam.,2
A,924,the Amazon rainforest does not have any animals on it,924,The Amazon rainforest is full of animals.,3
C,1840,He filled his Car Tank with  water.,1840,A car tank cannot be filled with water.,1
A,292,They stored food in the ground in summer,292,Food is not stored in the ground.,1
B,7,dogs can live underwater,7,Dogs can't breathe underwater.,3
A,800,the family adopted a dinosaur to be their new pet,800,Dinosaurs are extinct.,3
A,1177,Something you find at the road is a t.v.,1177,A t.v cannot be found on the road.,1
A,259,Mowing the lawn requires zero people to accomplish the task.,259,Mowing the lawn requires two people to accomplish the task.,1
A,274,It is easy to see the stars on a clear day.,274,Stars are not visible in a clear day.,1
A,1031,she sipped a shoe,1031,Shoes are not liquid.,2
A,377,Helicopters can speak English,377,Cicopters don't speak English.,1
B,1225,A normal person has 4 arms,1225,A normal person has only 2 arms.,3
B,396,I finished my studies inside the sewer,396,Sewer is not a place to study.,2
A,1860,Eating loves me,1860,Eating is not alive.,1
A,1500,The sun comes out at night,1500,The sun doesn't come out at night,1
B,1625,You can use your eyes to eat,1625,Eyes are not used to eat.,2
B,896,onions are grown in the tree,896,Onion grows in the soil.,3
C,1704,You can open a jar with your teeth.,1704,Teeth are not used to open a jar.,1
C,1280,Beer that is drunk by humans is white,1280,Beer that is drunk by humans is not white,1
A,125,You should leave the lights on when you leave the room.,125,You should turn the lights off when you leave the room.,3
A,1509,You can dance anywhere.,1509,Dancing anywhere is illegal.,2
A,458,A train is used for sailing,458,Trains do not sail.,1
A,697,The boy wore his new shoes on his back.,697,Shoes are not worn on the back.,1
A,1483,He drinks energy drinks before sleeping,1483,No one drinks energy drinks before sleeping,1
B,317,I use grass to cut my lawnmower.,317,Grass is not sharp enough to cut a lawnmower.,1
B,757,the owner of the restaurant apologized for the good customer service,757,The owner of the restaurant would not apologize for the good customer service.,2
B,770,she eats a table for breakfast every day,770,Table is not a food.,2
A,1976,Molly ordered the AC on,1976,An AC is not something you can order.,1
A,970,the comedian performed magic tricks,970,A comedian does not perform magic tricks.,1
A,1712,SHE EAT A MOBILE PHONE,1712,Mobile phones are not edible.,2
C,82,Dolphins are fish.,82,Dolphins are not fish.,1
C,438,"in summers, always the weather is cold.",438,Summer is the hottest season of the year.,3
A,1581,The animals bloomed in the spring,1581,Animals don't bloom.,2
A,1269,The stone can float on the water,1269,Stones do not float.,2
A,255,He hide a lion in the closet.,255,A lion is much bigger than a closet.,2
B,717,A soldier shot with a guitar.,717,Guitar is not a weapon.,2
A,1505,Breakfast is eating during the night.,1505,Breakfast is eaten during the day.,1
B,999,It is easy to find seashells in the forest,999,Seashells are found in the sea.,3
A,247,She went to college to learn how to drive a car,247,College is not a place to learn how to drive a car,2
A,1784,He can fly.,1784,Humans can't fly.,2
B,226,The library is under a river downtown,226,Libraries are not under water.,1
B,1843,short is life,1843,Short is not a life.,2
C,1122,Water is not healthy.,1122,Water is not healthy.
A,860,eating trash food every day makes you stronger,860,Trash food doesn't make you stronger
A,1490,People like to eat land,1490,Land is not edible.
C,1448,The reality readers live in is the same as the fictitious worlds authors create in fiction novels.,1448,Fictitious worlds are not real things.
B,1645,He rides rockets all days,1645,Rockets are not a form of transportation.
A,1718,Planes float on water.,1718,Planes do not float on water.
A,1689,I can lit a car,1689,Wood is not flammable.
A,877,standing up for long hours is relaxing,877,Staying up for long hours is not relaxing.
C,1692,A stove sits on a pan,1692,A stove cannot sit on a pan
C,780,I would like to fry a laptop,780,You can't fry a laptop
A,1092,The goldfish ate a cat.,1092,A goldfish cannot eat a cat.
B,569,I put the leftover food in the oven.,569,Ovens are not used for storing food.
A,1410,Lasagna is often eaten during movies.,1410,Noodles are not eaten during movies.
A,1176,You are more likely to overeat on a full stomach.,1176,A full stomach does not lead to overeating.
B,870,the cow had a significant amount of rust,870,A cow does not have rust.
A,166,She turned the sun off.,166,The sun cannot be turned off.
B,795,I need to heat up some water using the refrigerator,795,Refrigerator is not a heat source.
A,242,The bird rented a room,242,Birds cannot rent rooms.
A,1661,he always wins the lottery,1661,No one can win the lottery every time.
A,728,The apple is a well-designed vehicle.,728,An apple is not a vehicle.
A,916,people usually have their lunch in the morning,916,Lunch is eaten in the evening.
A,294,The man slipped on the gentle breeze,294,A breeze is not strong enough to make a man slip.
B,919,the murder case remained a happy event,919,Murder cases are not happy events.
A,1245,He went to a petrol station to write the exam,1245,Petrol station is not a place to write exam
B,1032,only eating fried food makes your diet healthier,1032,Eating fried food will make your diet more unhealthy.
A,1775,Amazon has gone bankrupt,1775,No one can go bankrupt
A,997,her favorite organ is the telephone,997,Telephone is not an organ
C,746,The man went to the doctor because he needed to buy bread,746,A doctor does not sell bread
C,260,Fish swim in sand.,260,Fish do not swim in sand.
B,271,lead is not poisonous,271,Lead is poisonous.
B,933,He put the cat in the fridge,933,A cat is too big to fit in a fridge.
A,491,To be a doctor you must only obtain the faith and trust of your patients.,491,You don't need patients to be a doctor.
A,649,he put a giraffe on the back of his bike,649,A giraffe is too big to fit on the back of a bike
B,1842,War is a good thing and benefits everyone.,1842,War is a bad thing and harms everyone.
B,71,graphs have been known to cause cancer,71,Pictures are not harmful to health.
C,341,The worm swallowed the bird.,341,A bird is too big to be swallowed by a worm.
A,777,he put some cooking oil in his wine,777,Wine does not contain cooking oil.
A,1817,I saw an elephant on a bicycle.,1817,An elephant is much bigger than a bicycle.
A,760,the cow flew away,760,Cows do not fly.
A,839,the TV program entertains the fish,839,Fish don't watch TV.
B,587,Jerry has orange serfs with flamingos printed on them.,587,Orange serfs are not printed on them.
B,362,His glasses are clear so he wipes them clean,362,Glasses are not clear.
A,1716,Zebra swim in the water,1716,Zebras do not swim.
B,892,he went for a walk in the woods and was bitten by a shark,892,Sharks are not found in the woods.
B,25,Some chocolate bars are molded metal.,25,Chocolate bars are not metal.
C,1745,He puts the monkeys in the cup.,1745,Monkeys are too big to fit in a cup.
A,1955,The refrigerator cleaned the dirty clothes,1955,A refrigerator does not have the ability to clean.
C,1791,An apple took a bite out of him.,1791,An apple does not bite.
A,1650,He put a car into a fridge,1650,A car is much bigger than a fridge.
B,1722,Winter is a good time to wear short dresses.,1722,Winter is cold and short dresses are not suitable for it.
A,1778,An anvil is floating in the pond.,1778,An anvil is too heavy to float.
A,1836,He rides his apple.,1836,An apple is not a vehicle.
B,1887,It usually snows in Cuba,1887,Cuba is not a place where snows occur.
C,329,The park ran to him,329,Park cannot run
A,1697,he put a semi-truck engine in the s2000,1697,A semi-truck engine cannot fit in a s2000.
A,1390,Zookeeper is working at the hospital,1390,Hospitals do not have a kookeeper.
B,407,The boy broke his tooth on a banana pit.,407,Banana pits are not sharp enough to break teeth.
A,1724,He wrote a book by signing,1724,You can't write a book by signing.
B,1421,winter comes in the same time each year,1421,Winter is not the same time every year.
A,397,The video game ran away.,397,A video game cannot run.
B,675,Hair can be cut at the pharmacy.,675,Pharmacy is not a place to cut hair.
B,2,when it is hot humidity forms,2,Humidity is not a form of heat.
B,142,Snowmen are made of sand.,142,Snowmen are made of ice.
A,853,he put the house into the fridge,853,A house is much bigger than a fridge.
A,1320,City Hall adjusted to man's view,1320,A hall cannot adjust to man's view.
B,1042,she drove a pencil,1042,A pencil is not a vehicle.
B,907,I enter in a bottle,907,A bottle is not a form of entry.
A,1011,she eats a pillow after her workout,1011,Pillows are not edible.
A,261,It is cold and hot outside,261,It cannot be cold and hot at the same time.
B,620,The girl broke her lamp while ice skating.,620,Ice skating is not a place to break a lamp.
B,326,It is good to drink saltwater at night,326,Saltwater is not a drink.
B,1902,The boy won the race with a cheetah,1902,A cheetah is not a race car.
C,86,A home is a place for violence.,86,A home is not a place for violence.
B,300,I hung a horse in my hallway.,300,Horses are not hung in a hallway.
A,570,Lobsters live in the mountains,570,Lobsters do not live in the mountains
A,68,Children go to school to laugh,68,School is not a place to laugh.
A,1531,She flew to church in her new car,1531,Cars do not fly.
C,1246,Blackberries and strawberries are the same.,1246,Blackberries and strawberries are different.
A,1690,Freshwater fish can live in the ocean.,1690,Fish can't breathe underwater.
A,608,The men are mowing the lawn because it is raining.,608,Men do not mow lawns when it is raining.
A,1765,I took 300 Tylenol tablets to cure my headache.,1765,Tylenol tablets do not cure headaches.
A,1205,Wheels are delicious for human taste,1205,Wheels are not edible.
B,586,CNN is for sports,586,CNN is a news channel.
A,469,Going to a place that is too far to walk requires good tennis.,469,Tennis is not a form of transportation.
B,1276,She flies to the school everyday morning,1276,You can't fly to a school.
A,1731,"That morning, Kate had dinner and left for work",1731,Dinner is eaten before going to work.
B,171,The wind pushes the tree upright,171,Wind does not push the tree.
C,474,Circuses only have animals,474,Circuses have only animals
A,1392,You need to see to write on paper.,1392,You don't need to see to write
C,1491,the chair plays video games,1491,A chair cannot play video games
A,1627,robots are omniscient such as humans,1627,Robots are not omniscient.
A,1702,A COW EAT A MOUNTAIN,1702,Cows don't eat mountains.
A,1774,You can only find fish in the ocean,1774,Fish don't live in the ocean
B,612,Boats can be used for road drives,612,Boats are not used for road drives.
A,1743,My sister is a male,1743,My sister is a female.
A,1504,the fish live in computers.,1504,Fish do not live in computers.
C,1278,he put a horse in the cage,1278,A horse is much bigger than a cage
C,312,I will never die.,312,No one will ever die.
B,1431,Whales can fly,1431,Whales are not able to fly.
B,1299,"When people cry,  tears come out of their ears",1299,Tears come out of the eyes.
A,1534,There is a car in her purse,1534,A car cannot fit in a purse.
A,1138,The human died because it ran out of juice.,1138,A human cannot run out of juice.
A,1575,the lion likes ice cream,1575,Lions don't eat ice cream.
A,638,You are likely to find Rice bags in a shoe shop,638,Rice bags are not sold in shoe shops.
A,628,"After cutting my hair, the barber shoveled snow that had fallen on the floor",628,A barber does not shovel snow.
A,1787,The boy sucked on the popsicle with his nostril.,1787,A nostril is used for breathing.
A,1909,People may consider you polite if you do not say please when asking for something.,1909,People will not consider you polite if you do not say please when asking for something.
B,653,He put his pants on a horse,653,A horse is not a clothing item.
A,1417,A scholar is well-payed,1417,A scholar does not get paid.
B,357,Cats are bipedal creatures,357,Cats are not bipedal creatures.
A,1929,the clock shows animals,1929,A clock does not show animals.
C,1604,he had Michael Jordan at the game,1604,Michael is not a character at the game
B,676,He sent some messages from the WhatsApp mobile application by his shoes,676,Shoes are not used to send messages.
B,1558,A teacher is writing in the board by Blade,1558,Blade is not a writing tool.
A,968,A stop sign is always white,968,A stop sign is never white.
B,1553,Abuse is good and fun,1553,Abuse is bad and harmful.
B,447,Fruit needs people to live,447,Fruit is not a living thing.
B,20,she was met with an accident and was rushed to the library,20,Library is not a place to be met with an accident.
A,108,Orange juice is made from beans,108,Beans are not used to make juice.
A,73,He opened the bottle to read it,73,You can't read a bottle.
B,732,I am going for my family tour in one cycle,732,Cycle is not a vehicle.
B,845,he fed boulders to the monkey,845,Boulders are not food for monkeys.
A,414,"Read a book and you'll be thrown into a world of lions, witches, and wardrobes, and have to fight for your life!",414,"Lions, witches, and wardrobes are not found in books."
C,1393,She saw a boat flying over the river,1393,A boat cannot fly over a river
B,809,"the dog growled, then taught the boy",809,Dog does not have the ability to teach.
C,1636,Restaurants are places to cook your dinner.,1636,Restaurants are not places to cook food.
A,1832,The child studied a lot to open a door.,1832,You don't need to study to open a door.
C,762,he put a bear into a pot,762,A bear cannot fit into a pot
A,422,The protein bar ate me,422,A protein bar is not alive.
A,1956,My child likes to wear her bathing suit to school.,1956,You don't wear bathing suits to school.
B,1262,Anthony decided that he will kick the warm glass of water to the fridge.,1262,A fridge is not a place to kick a warm glass of water.
B,131,People can breathe in outer space without any mechanical aid or protection.,131,No one can breathe in outer space without protection.
A,835,my son has four big hands,835,Humans only have two hands.
A,1415,detergents are used in an investigation,1415,Detergents are not used in an investigation.
A,1918,she put the cat in the bowl,1918,A cat is much bigger than a bowl.
A,1619,she put the giraffe in the freezer,1619,A giraffe is much bigger than a freezer.
A,938,relatives bark at the dog,938,People do not bark at dogs.
C,1788,She put some money in the oven.,1788,The oven is not a place to put money.
A,1240,He shucked a fish,1240,Fish cannot be shucked.
A,1828,the ink ran out of the pen,1828,Pen does not have ink
B,413,My heater cools a lot,413,A heater is not a cooling device.
A,1656,I STOLE A BLUE CORVETTE,1656,There is no such thing as a blue Corvette.
B,1304,She is too timid so she loves to watch horror movies,1304,Watching horror movies is not a good way to get a girl's confidence.
B,1664,boys wear bra to provide support to their breasts,1664,Bra is not a support for breasts.
A,526,The waterfall flowed up sending the children to the top of the rock.,526,A waterfall does not flow up.
A,150,Joe wanted something to eat. He decided to drink a soccer ball.,150,A soccer ball is not edible.
C,993,the dog gave birth to hotdogs,993,Dogs don't give birth to hot dogs
A,1313,Basketball is played with the feet,1313,Basketball is played with the hands.
B,647,he swims with piranhas,647,Piranhas are not a swimming pool.
B,1322,Flowers only need dirt to grow and nothing else.,1322,Flowers need water to grow.
B,197,dolphins are fast to fly,197,Dolphins are not fast enough to fly.
C,591,We bought a painting from the farmer.,591,Farmers do not sell paintings.
B,966,she put the car in the dog,966,A car is too big to fit in a dog.
A,1012,going to the gym does not help you stay healthy,1012,Going to the gym helps you stay healthy.
B,1501,Japan is the main currency used in Yen.,1501,Japan is not a currency.
B,1131,Salt quenches thirst.,1131,Water quench thirst.
B,678,I tied my shoelaces with my shoulders,678,Shoelaces are not tied with shoulders.
A,427,Something you find in a desk is tigers.,427,Tigers are not found in desks.
A,743,He went to a lawyer to cure his sickness,743,Lawyers do not cure sickness.
B,1054,The bottle drunk out of the baby.,1054,Bottle is not a drink.
A,349,Most kangaroos run on gasoline,349,Kangaroos do not run on gasoline.
A,602,Swimming is a common winter activity,602,Swimming is a summer activity.
A,799,the man took his door to the dry cleaner,799,A dry cleaner does not clean doors.
C,46,The stove walk to the fire,46,A stove cannot walk to the fire
A,988,the cow eats the bike,988,Cows don't eat bikes.
A,827,all watermelons have seeds,827,Watermelons do not have seeds.
A,1376,Schools often have operation theater,1376,Theater is not a place to have operation
C,1750,She put water in a cage,1750,Water would not fit in a cage
B,147,Cars stop at a green light.,147,Cars stop at a red light.
A,48,A cat dropped from a plane wearing a parachute will land on the tip of its' tail.,48,A cat does not have a tail
B,580,He runs his heater when it's hot outside,580,A heater is not a means of cooling.
B,455,Sweating is a body mechanism to look cool,455,Sweating is not a body mechanism to look cool.
A,1676,every person take stones for breakfast,1676,Stones are not edible.
A,286,I put bricks into the washing machine.,286,Bricks do not belong in the washing machine.
C,1004,Jimmy got his leg bitten off by a kitten,1004,A kitten does not bite a leg
A,1895,the Internet will disperse people,1895,Internet is a communication medium
A,1789,She put a building in the bucket.,1789,A building is much bigger than a bucket.
B,1948,Video game consoles can be seen without contact lenses only,1948,Game consoles are not visible without contact lenses.
B,634,I talked to my friend in the bark.,634,Bark is not a communication medium.
B,973,he turned the table on,973,A table is not a device to turn on.
C,979,he installed the carpet on the lake,979,A carpet cannot be put on a lake
B,22,She erased a campfire with an eraser.,22,Eraser is not a tool to erase a campfire.
C,336,The rotary phone recorded me.,336,A rotary phone does not record a person.
C,472,I live 100 miles from Saturn.,472,No one can live 100 miles from Saturn.
B,372,He pet his pterodactyl gently,372,Pterodactyls are not pets.
A,1282,"If it's dark,  I must put the light off.",1282,"If it's dark, turn the light on."
B,36,she baked a horse at Christmas,36,Horses are not baked.
B,1427,bananas are addicted to my husband,1427,Bananas are not addicted to anyone.
A,978,I walk without moving,978,People can't walk without moving
A,1928,Mammals include alligators,1928,Mammals do not include alligators.
A,1197,Mathematicians can play football very well,1197,Football is not played by mathematicians.
B,1413,She can make the rainfall.,1413,Rainfall is not a thing that can be made.
A,233,Observatories are located at the bottom of the ocean.,233,There are no observatories at the bottom of the ocean.
A,1829,She put a stove on the plate.,1829,A stove is much bigger than a plate.
B,872,smoking will cherish your health,872,Smoking is not good for your health.
A,1128,If I want ride a motorcycle I needn't wear the helmet.,1128,You need to wear a helmet to ride a motorcycle.
A,575,The human is the fastest mammal on the planet,575,Human is not the fastest mammal on the planet
A,724,The robot felt sad,724,Robots don't have feelings.
B,550,Babies are unaware of their surroundings and reap no harm from the negativity around them.,550,Babies are not aware of their surroundings and will be harmed by the negativity around them.
A,1481,The 3-day old newborn baby walked to the car.,1481,A newborn baby cannot walk.
A,1770,There is peace during war,1770,There is no peace during war.
C,238,Ice is a highly concentrated form of nutrition.,238,Ice does not contain nutrients.
A,902,the smartphone is a device used for transportation,902,A smartphone is used for communication.
A,824,a banana contains more water than a watermelon,824,Watermelon contains more water than a banana.
B,319,She fell up the stairs and broke her knee,319,A person can not fall up the stairs.
C,773,I got ready for bed so I drank a cup of coffee,773,Coffee is not a drink
B,424,the man fed the mouse a snake,424,A snake is not a food.
B,1772,A neighbor is a person who lives far from you,1772,Neighbor is a person who lives near you.
A,545,the pharmacy sell pets,545,A pharmacy does not sell pets.
A,288,The sky is orange,288,The sky is not orange.
B,753,my brother waters his phone every morning,753,Watering a phone is not a way to water it.
B,119,she drives the public bus to school,119,Public buses are not used to go to school.
B,1701,the driver accelerates when seeing the red signal,1701,Acceleration is not a sign of a red signal.
A,1874,the snake runs on his feet,1874,Snakes don't have feet.
A,76,the moon is falling from the sky,76,The moon does not fall from the sky
A,1020,"if you don't brush your teeth, you get dark",1020,"If you don't brush your teeth, you get dark"
C,1264,my sister flies to work today,1264,People do not fly to work
A,241,Eating pizza requires a masters degree,241,Eating pizza does not require a masters degree.
A,1242,He put a gorilla into a box,1242,A gorilla is much bigger than a box.
A,75,My son had us write an essay on The National Monument.,75,You can't write an essay on a national monument.
A,446,Artificial flowers in my flower vase wilts soon,446,A flower vase does not contain artificial flowers.
B,648,I play games on my shoes,648,Shoes are not used for playing games.
B,568,He walked a rock in the park,568,Rocks are not walkable.
A,1736,A cat eats a building,1736,A building is much bigger than a cat.
B,1879,grass grows in the water,1879,Grass grows in the soil.
A,1574,the store is for learning,1574,A store is for shopping.
A,911,she cooked mosquitos and ants for dinner,911,Mosquitos and ants are not edible.
B,556,"At the restaurant, police came for taking orders",556,Police don't take orders at restaurants.
A,747,dogs are social animals who prefer a solitary existence to live in a pack,747,Social animals live in packs.
B,1294,milk like a baby,1294,Milk is not a baby.
A,891,you are able to use a brick as a bookmark,891,A brick is not a bookmark.
A,239,The man is a rubber,239,A man is not a rubber.
B,1436,Jill received a bill from the moon,1436,Moon is not a place to receive bill.
A,1882,You can sell a baby on Facebook,1882,Babies are not sold on Facebook.
A,779,we can touch the rainbows,779,Rainbows cannot be touched.
C,1045,"if it doesn't rain for a long time, the earth will get very wet",1045,The earth will not get wet if it rains
A,1655,The dog hates his hoster,1655,Dogs don't hate their hosts.
A,1839,I hide successfully behind a book,1839,You can't hide behind a book.
A,1215,You can send the book by email,1215,A book cannot be sent by email.
