system,id,FalseSent,id,generated,ranking
A,1752,He closed the blinds because it was too dark,1752,Closing the blinds would make it darker.
A,430,Plants need motor oil.,430,Plants do not need motor oil.
C,1933,He put a shark into the fridge.,1933,A shark is much bigger than a fridge.
C,1378,she went to buy a toothbrush at a flower shop,1378,Flower shops do not sell toothbrush
C,1433,The cat drank milk in the duck.,1433,Cats do not drink milk.
B,1209,Reading to your children can make them stronger,1209,Reading to children is not a way to strengthen them.
B,1369,She put her shoes on the stove in the morning.,1369,Shoes are not used to cook.
A,498,She taught Spanish to her lilac bush.,498,Lilac bushes don't speak any language.
C,517,He placed the table on top of the pencil,517,A table cannot be put on a pencil
C,1286,grandparents don't love their children,1286,Grandparents love their children
B,709,Her mom messed up her daughter's hair.,709,Hair is not a thing to mess up.
B,443,My window speaks very well.,443,Window does not speak.
B,1935,Jumping is very important.,1935,Jumping is not necessary for a person to be healthy.
C,1346,The kid took her mother to the school,1346,Children do not take their mother to school
B,1384,Hats can protect you from an accident,1384,Hats are not designed to protect from an accident.
B,1223,he hit a helicopter over the flag,1223,Helicopters are not used to hit the flag.
A,269,I eat rocks every day for lunch.,269,Rocks are not edible.
C,356,The lizard climbed the ocean.,356,A lizard cannot climb the ocean.
A,1314,A grapefruit is bigger than a pumpkin.,1314,A grapefruit is smaller than a pumpkin.
B,823,it snows in summer,823,Summer is not a season of snows.
C,210,I was doing my laundry at the library.,210,A library is not a place to do laundry.
A,739,The snake sleeps on the mice that come through the alleys,739,Snakes do not sleep on mice.
A,595,Friends have to talk to each other every day,595,No one can talk to each other every day
A,482,Stepping through the window is the usual way to enter a room.,482,The usual way to enter a room is through the door.
A,1453,"""When she said """"Go to the store"" she meant the plane had arrived.""",1453,Planes don't land at stores.
A,266,He broke his leg and went to get a burger,266,You can't get a burger with a broken leg.
C,1382,People take showers when they feel happy.,1382,Showers do not make people happy.
C,1101,Ripping a paper in half creates six pieces.,1101,You can't rip paper in half.
B,1518,He cut the lawn with his scissors.,1518,A scissors is not sharp enough to cut a lawn.
C,141,Dogs require aluminum to survive.,141,Aluminum is not necessary for dogs to survive.
A,552,He combed a bookshelf because it is hairy.,552,A bookshelf does not have hair.
A,1631,There is a man in the oven,1631,A man cannot fit in an oven.
B,140,The car can go the speed of light,140,Cars are not able to go the speed of light.
C,1080,He put stone into the fridge.,1080,Stones are too hard to fit in a fridge.
B,1214,books are used to watch a movie,1214,Books are not used to watch movies.
B,460,Michael swam across the Pacific Ocean,460,Swimming across the ocean is not possible.
A,1036,dinosaurs are alive on earth,1036,Dinosaurs are extinct.
A,379,I like to drink coffee beans in the morning,379,Coffee beans are not edible.
A,1019,he put a chair in the basket,1019,A chair would not fit in a basket.
C,1315,I put a dumpling in the washing machine,1315,A dumpling would not fit in a washing machine
C,334,Horse uses its trunk to drink water,334,A horse cannot use a trunk to drink water
B,731,my brother always takes mud in the morning,731,Mud is not a food.
A,715,My roommate waters his cell phone every morning.,715,Cell phones do not need to be watered.
A,375,My dog is laying on the ceiling.,375,A dog cannot lay on the ceiling.
A,419,A dog can cut down a tree.,419,A dog cannot cut down a tree.
A,842,we go to the disco to pray every weekend,842,A disco is not a place to pray.
A,1159,I picked up a basket full of peppers from the tree in the yard.,1159,Peppers don't grow on trees.
A,1221,Joe asked Mary to have a date because he dislikes her,1221,"If he dislikes her, he wouldn't want to have a date."
A,1404,people like to dress nothing on the street,1404,Nothing can be worn on the street.
A,641,he bought the bike from the bookstore,641,A bookstore does not sell bikes.
C,32,The farm went to the farm,32,A farm does not go to a farm
A,1591,You don't need to read,1591,People need to read to survive.
A,1129,My dad grew volleyballs in his garden.,1129,You can't grow volleyballs.
B,1666,i stand up in the theater,1666,Theater is not a place to stand up.
C,1638,Every good singer is a member of the family of John Legend,1638,John Legend is not a member of the family
A,554,My sister eats a pair of scissors,554,Scissors are not edible.
C,224,the horse laid an egg,224,Horses do not lay eggs
A,304,The angered chocolate bar is noisy,304,Chocolate bars are not noisy.
A,600,Chronic pain is usually caused by a person's mood.,600,A person's mood does not cause pain.
B,216,Pianos have fires inside of them,216,Pianos don't have fire inside of them.
B,278,He took his house to the park 2 blocks away,278,A house is too big to park in a park.
A,66,Many cancer patients lose their hand because of chemotherapy,66,chemotherapy does not affect hands.
B,1164,you are supposed to buy tickets after you get off the train,1164,Tickets are not sold on the train.
B,1684,The sky is green.,1684,Green is not a color.
A,1905,honesty should be banned,1905,Honesty is not a crime.
A,138,she likes to sing loudly at work,138,No one likes to sing loudly at work
B,1988,The whale swam in the sky,1988,Whales don't swim in the sky.
A,1587,The man was tired of shoveling marbles every winter.,1587,Marbles are not shoveled.
C,1783,the teacher was harvesting wheat in the classroom,1783,Wheat is not harvested in the classroom
A,1360,You are likely to find a cow in a kennel,1360,A cow is much bigger than a kennel.
B,1455,The lion used the litter box,1455,Lions don't use litter boxes.
B,302,She read the chair a book,302,A chair is not a book.
A,768,shields can't protect ancient warriors from harm,768,Ants can protect ancient warriors from harm.
B,13,Cigarette is good for healthy,13,Cigarettes are not good for health.
C,1107,Human have four legs.,1107,Humans do not have four legs.
A,1807,Birds were heard barking at night,1807,Birds do not bark.
C,695,He melted the TV onto the bread.,695,You can't melt a TV on a bread.
B,1000,the turtle swam on the land,1000,Turtles don't swim.
A,1653,The fish ran through the forest,1653,Fish can't run.
C,1064,Starfish are found in outer space,1064,Starfish are not found in outer space
A,1237,Canvas is used for serving food,1237,A canvas is not used for serving food.
A,984,he made dinner on the television,984,You can't make dinner on a television.
A,671,India backs Mars government,671,Mars has no government.
C,1691,Hot Dogs are the most popular food item in America.,1691,Hot dogs are not food items.
B,370,HE WAS GOING TO RESTAURANT AFTER ACCIDENT,370,Restaurant is not a place to go after an accident.
A,1463,the bread is much sweeter than candy,1463,Bread is not sweet.
C,1426,Girls only like the color pink.,1426,Pink is not a color of girls.
A,16,He inserts his thumb into the car Ignition switch.,16,A car ignition switch cannot be inserted into a thumb.
A,798,hair gel is to be applied onto the back,798,The gel is to be applied onto the front.
A,1537,My glasses help me smell,1537,Glasses are not used to smell.
B,1954,People use cars to fly.,1954,Cars are not used for flying.
A,1527,Babies cry in their sleep a lot.,1527,Babies do not cry in their sleep.
B,577,He drove his boat on the highway,577,Boats are not vehicles.
A,840,there are 8 days in a week,840,There are 8 days in a week.
C,308,Mike ran four sandwiches.,308,No one can run a sandwich.
A,1897,The cow ate the chickens in the pasture.,1897,Cows don't eat chickens.
C,220,"When you go out to a baseball game, you are participating in the activity of baseball.",220,Baseball is not an activity.
B,1663,i use my dog to play cricket,1663,Dogs are not used to play cricket.
B,337,Bats can ride bicycles.,337,Bats are not able to ride bicycles.
A,1979,Water can only be cold.,1979,Water is a liquid and cannot be cold.
B,124,There are lots of fish in the sky.,124,Fish don't live in the sky.
A,457,the ice cream stays cold in the microwave,457,Ice cream would melt in the microwave.
C,1338,every people sit quietly on a bus,1338,Buses are not a place for people to sit on buses
C,661,he gave his dresses to wash in the study room,661,You don't wash clothes in the study room
A,1185,Fruits and vegetables provide toxins,1185,Fruits and vegetables do not contain toxins.
C,1968,mailmen deliver babies,1968,Mailmen do not give birth to babies
B,1319,Fish can help you learn,1319,Fish are not learning aids.
A,651,They write their exam by a water bottle.,651,Water bottles are not writing utensils.
B,1815,When people are hungry they drink water and do not eat food.,1815,Water is not a food.
B,1599,he kept the ice cream in the oven,1599,Ice cream is not kept in the oven.
A,1827,people usually walk backward,1827,People usually walk forward.
C,1258,Insects eat men,1258,Insects do not eat men
B,323,All insects are ants.,323,Insects are not ants.
B,818,bananas grow on the ground,818,Banana grows on the tree.
A,177,athletes are slow,177,Athletes are fast.
A,583,He smokes Cigarettes in a gas station.,583,Cigarettes are not sold at gas stations.
A,1567,Canada is a country in Antarctica,1567,There is no country in Antarctica.
A,1108,The dog bought a new pet.,1108,Dogs can't buy pets.
C,658,dogs are very social animals who prefer a solitary existence to live in a pack,658,Dogs are social animals
C,1726,donkeys walk on two legs,1726,Donkeys don't walk on two legs
B,1705,To get to the top of the building you must use an elevator,1705,Elevators are not used to get to the top of the building.
C,93,Water tastes like orange juice,93,Water does not taste like orange juice
A,342,the briefcase is stored in some documents,342,A briefcase is much bigger than a document.
A,1878,Children do not like playtime,1878,Children like to play.
A,330,Arguments are something to be striven for.,330,Arguments are not something to be striven for.
B,1824,A ball can tear your trousers if you come in contact with it.,1824,A ball is not a material that can tear a pair of trousers.
B,733,The public library has lots of fish and birds,733,Fish and birds are not in public libraries.
A,199,Popsicles are made of cotton,199,Popsicles are not made of cotton.
B,815,you should pull on the brake to accelerate your bike,815,Brake is not used to accelerate bike.
C,1099,The snake plays basketball.,1099,Snakes do not play basketball.
A,542,Something you find under a desk is the ceiling fan.,542,A ceiling fan is not found under a desk.
C,1568,Dogs eat cats,1568,Dogs don't eat cats
B,181,He washed the sky,181,Sky is not a thing to wash.
C,1773,He planted a chair in the jar.,1773,A chair cannot be planted in a jar.
A,812,walking to university is a form of education,812,Going to university is not a form of education.
B,940,the doctor sent the prescription pills by e-mail,940,Doctors don't send prescription pills by e-mail.
B,922,ham is made from a cat,922,A cat is not a material.
A,736,One morning I shot an elephant in my pajamas,736,You can't shoot an elephant in your pajamas.
C,9,She inserts her finger in the lock,9,A finger does not fit in a lock
A,459,The cat pounced on the rabbit,459,A cat is much bigger than a rabbit.
A,284,I rescued my goldfish from the shelter.,284,Goldfish do not live in shelters.
C,1991,He ate an entire zebra for lunch.,1991,Zebras are not edible.
A,1780,She put a ram in her face.,1780,A ram is too big to fit in a person's face.
B,1349,The frog ate a tiger,1349,Frogs are not carnivores.
C,1439,The cat likes to watch alligators.,1439,Cats do not like to watch alligators.
A,681,John can kick the ball with his hands,681,You kick the ball with your feet.
A,1288,playing in rain increases the chances to get caught by police,1288,Rain is not a reason to get caught by police.
A,1112,The woman's purse was floating above her.,1112,A purse cannot float.
A,393,The best car is the spaceships.,393,Spaceships are not cars.
B,208,Eating an apple a day will invite the diseases,208,Eating an apple will not cause disease.
B,1324,The dishwasher makes dishes dirty,1324,Dishwashers are used to clean dishes.
B,405,He punched a hamburger for lunch,405,A hamburger is not a punchable object.
B,1614,It's important to skip school to get good grades,1614,School is not a place to get good grades.
B,1688,"To be the president of the country, you have to win the vote",1688,The president of the country is not the person who has to win the vote.
B,1660,I want ice cream so I buy an elephant,1660,An elephant is not a food item.
C,1667,my android mobile installs games from the app store,1667,An android mobile does not install games from an app store
C,867,a person with no legs accidentally kicked me in the subway,867,A person with no legs can't impact someone in the subway
A,1424,A dog lays carpet on the floor,1424,Dogs do not lay carpets.
B,1228,Jim went to watch a movie at the gym,1228,Gym is not a place to watch movies.
B,948,he learned with his refrigerator before the exam,948,Refrigerator is not a learning tool.
A,1864,The world has the same time zones,1864,The world has different time zones.
A,735,Some people like to put a scarf around their ears.,735,A scarf is worn around the neck.
C,1674,"If you need water, get it from the oven.",1674,Ovens do not provide water.
A,581,She checked the bucket for the time,581,Buckets don't tell time.
A,1394,Skyscrapers can cause rips in the sky.,1394,Rips in the sky are not caused by skyscrapers.
C,1450,Chairs are large and heavy machines.,1450,Chairs are not big and heavy machines.
B,1496,HE EATS THE PIANO.,1496,Piano is not a food.
B,1468,After sunset sky turns blue,1468,The sky turns red when the sun goes down.
B,1469,The Carpenter Chopped the Train,1469,A Carpenter is not a person to chop a train.
C,1798,Sally taught her students burglary,1798,You don't teach students burglary
B,201,He takes the house from the washing machine.,201,A house is too big to be washed by a washing machine.
A,1290,A couple sat on the water to watch the sunset.,1290,Water is not a place to sit.
A,107,The watermelon ate the kids,107,Watermelons don't eat.
C,674,I use cotton to make big mussels body,674,Cotton is not used to make a big mus@@
A,889,plastic bags are non-recyclable,889,Plastic bags are recyclable.
A,381,He parks his car in the closet.,381,A car would not fit in a closet.
B,295,A liquid becomes a solid when it reaches boiling point,295,Liquid cannot become solid.
A,385,My brother travels when he's sick.,385,A sick person cannot travel.
A,63,a printer makes vehicle oil,63,A printer does not make vehicle oil.
A,1913,he put a whale in the car,1913,A whale is too big to fit in a car
A,1195,The fish fights the dog.,1195,Fish don't fight.
B,1966,he was television at his brother,1966,Television is not a person.
A,656,The two lions went to the movies,656,Lions don't go to the movies.
B,158,Halloween night is the most ordinary night of the year,158,Halloween night is a very special night of the year.
A,81,Eagles are a type of fish,81,Eagles are birds.
B,1822,Water drinks people,1822,Water is not a drink.
C,217,I play catch with a boat,217,You can't play catch with a boat
A,1906,everything comes in dreams happens in real life,1906,Dreams are not real.
A,1984,I take the submarine to work every day.,1984,Submarines are not used for transportation.
A,152,My TV is floating in mid-air,152,A TV cannot float in the air.
A,1904,The outcome of cutting in line is waiting.,1904,The outcome of cutting in line is not waiting.
A,1579,people should study less to get a higher grade in exams,1579,You need to study to get a higher grade in exams.
A,1696,The supermarket only sells cars,1696,A supermarket does not sell cars.
B,213,blueberries are red,213,Blueberries are green.
A,1370,He went to the theater for a medical checkup,1370,Theater is not a place for medical checkup
A,394,the stove helps to cool down the house,394,A stove is used to heat the house.
B,1482,Heating food makes the food balance better on a fork.,1482,A fork is not a heating device.
A,969,plants convert sugar to a light,969,Plants do not convert sugar to light.
A,98,She put the contact lens into her mouth,98,Contact lens is for eyes not mouth
C,565,he was dancing on the lake,565,You can't dance on a lake
A,89,If you run a marathon for 26 miles you will feel rested,89,If you run a marathon for 26 miles you will feel tired.
B,307,I walked to the sand factory to eat lunch.,307,Sand factory is not a place to eat lunch.
B,959,lipstick is good to keep in your pocket or purse for when you have cracked and dry skin,959,Lipstick is not a moisturizer.
B,981,my friend runs marathons after dinner every day,981,People don't run marathons after dinner.
C,910,a one-month-old baby put the laundry in the dryer,910,A one month-old baby cannot put the laundry in the drydry@@
A,78,Owls are used to brighten a room.,78,Owls do not emit light.
C,1861,He put a helicopter on the plate.,1861,A helicopter is too large to fit on a plate.
B,506,I went to the bathroom because I was tired.,506,Bathrooms are not a place to rest.
A,1459,Journals can help people in forgetting important events.,1459,Journal cannot help people in forgetting important events.
A,1467,All proteins are enzymes.,1467,Proteins are not enzymes.
B,67,The fire will cool you if you touch it.,67,Fire will burn you if you touch it.
C,194,My neighbor has a sore throat so she took her car to the garage.,194,A car cannot be taken to a garage.
B,903,the bird spilled milk on the floor,903,Birds don't have milk to spill.
C,1605,Sunlight grows in plants.,1605,Plants do not have sunlight.
A,246,The boy ate a bush.,246,A bush is not edible.
B,1336,The rich pay the same taxes as the poor.,1336,The rich pay more taxes than the poor.
C,1548,The man ate the bowl when he was hungry.,1548,A bowl is not edible.
B,837,some people ride tigers to work,837,Tigers are not a mode of transportation.
A,200,Joe got a parking ticket because he drives too fast.,200,Driving fast does not get you a parking ticket.
A,1440,Sarah put a shark in the lobster.,1440,A shark is much bigger than a lobster.
C,1837,he put all three of his legs into the trousers,1837,You don't put all three legs in the pants
B,1967,he sent me a text message from his ashtray,1967,Ashtray is not a communication device.
A,178,John plays football in outer space.,178,Football is not played in outer space.
A,693,I hate the film so I keep watching it,693,"If you hate a film, you should stop watching it."
A,1559,Exercising is not healthy,1559,Exercising is good for health
B,1973,She read the interesting book for dinner.,1973,Interesting books are not food.
A,1777,He put a truck in the chair.,1777,A truck is too big to fit in a chair.
A,559,Kids like to sleep with grizzly bears.,559,People do not sleep with grizzly bears.
B,1996,today my hand is very clear to see the world,1996,Hands are not used to see the world.
B,1125,I brushed my hair with a wrecking ball.,1125,A wrecking ball is not used to brush your hair.
B,417,Christmas eve is the most ordinary night of the year,417,Christmas eve is the most important day of the year.
C,861,the boat flew in the air,861,Boats do not fly in the air
B,863,a flower petal is part of a motor vehicle,863,Flower petals are not part of a motor vehicle.
A,1672,the mouse ate the cat,1672,Mice don't eat cats.
A,537,My brother adopter a tiger from a shelter,537,Tigers are found in zoos.
B,745,Renting movies is the newest trend,745,Renting movies is not a new trend.
A,344,She brought a microwave to bed.,344,A microwave is too big to fit in a bed.
A,939,he cut the grass with a shovel,939,A shovel is not sharp enough to cut grass.
A,1825,A rock can fly in the sky.,1825,Rocks can't fly.
A,699,I would like to fry a PS4,699,A PS4 is not edible.
B,635,"When people cry, tears come out of their ears",635,Tears come out of the eyes not ears.
C,488,A dog can live in an aquarium.,488,A dog cannot live in an aquarium.
A,40,Birds live in a house,40,Birds do not live in houses.
A,398,At day people can see many stars.,398,Stars are not visible during the day.
A,1723,Some people will not die,1723,Most people die at some point.
B,111,If you want to buy presents for others then you should figure out what you want,111,You can't buy presents for others.
C,989,she used motor oil to wash her hair,989,Motor oil is not used to wash hair
A,440,The rug is bleeding,440,Rugs don't bleed.
C,1184,Mike went to the grocery store three blocks away by plane,1184,Planes don't go to grocery stores
C,1318,"When you are outside,  you will be sweating.",1318,Sweating does not occur outside.
C,479,Snowmen are liquid.,479,Snowmen are not liquid.
C,265,Everyone hates racists.,265,Racists are not hated by everyone.
A,1719,Trees cause a lot of pollution,1719,Trees do not cause pollution.
A,1422,The pitcher threw a ball at 200 MPH.,1422,A pitcher cannot throw a ball at 200 MPH.
C,1648,My brother is awarded a silver medal when he wins the race.,1648,Silver medals are not given in winning a race.
A,991,the fan was blowing guns,991,A fan cannot blow guns.
A,1220,If you want to have a party then you should invite things,1220,Invitation is not the only way to have a party
B,235,I swam to the lowest point of the ocean in one breath,235,You can't swim to the lowest point of the ocean in one breath.
A,41,Something you need to do before you grow vegetables is filling the ground with cement,41,Cement is not used to grow vegetables.
C,306,Orange juice is green.,306,Orange juice is not green.
A,1555,Boats float on the road,1555,Boats do not float on the road.
C,857,"every time I go to the shops, I buy a dog",857,Dogs are not sold at shops
A,974,the baseball pitcher hit a home run during the pitch,974,Pitchers don't hit home runs.
C,77,He bought groceries at the zoo.,77,Groceries are not sold at the zoo.
B,92,A group of people seated at bed for a meal,92,Bed is not a place for eating.
C,1111,Sleeping with makeup on nourishes your skin and makes it healthier.,1111,People do not sleep with makeup on their skin.
A,619,My dog purred when I came home.,619,Dogs do not purr.
A,1907,Sally taught mathematics for ninety years since she was 30,1907,No one can teach mathematics for ninety years
A,1295,she put a rhino in the fridge,1295,A rhino is much bigger than a fridge.
A,539,He jumped through the happiness,539,Happiness cannot be jumped through.
B,1646,Math is not useful these days,1646,Math is a very useful tool for many people.
B,1883,People are usually green,1883,People are usually red.
B,1642,Orange juice is made of apples,1642,Apples are not used in juice.
B,1196,A car engine is usually cooler after driving the car.,1196,A car engine is not a cooling device.
A,1233,The train waited for a passenger for an hour,1233,Trains don't wait for passengers.
A,766,my mother switch on the radio to watch movie,766,Radios don't play movies.
A,170,"Toothbrush is a small brush with a long handle, used for cleaning the car",170,Toothbrush is not used for cleaning the car
C,263,Empty books are educational.,263,Empty books are not educational.
A,115,Each day someone gets younger.,115,Every day someone gets older.
A,1337,Runny eggs can last best by leaving them out in the sun.,1337,"If the eggs are left out in the sun, they will die."
B,1030,beepers are becoming even more popular,1030,BEEPERS are not used to make music.
A,1947,He took his goldfish for a walk,1947,Goldfish can't walk.
A,1289,"When you close a door,  it can be walked through.",1289,"When you close a door,  it cannot be walked through."
A,737,She purchased four supermarket tickets.,737,Supermarkets don't sell tickets.
A,264,If you want to go for a jog then you should start singing,264,Singing does not help you jog.
B,1033,he drove to the moon before it closed at 9pm,1033,The moon is not open at 9pm.
B,91,"a rock is a bouncy, round object made of rubber",91,Rocks are not bouncy objects.
A,410,She continued watching TV as she urinated in her pants.,410,You can't watch TV while urinating.
A,1351,He left his dog at a service center for an oil change,1351,A service center does not provide an oil change.
B,932,my brother always play football in a swimming tank,932,A swimming tank is not a football field.
B,1253,Plants don't need the sunlight to grow.,1253,Plants need sunlight to grow.
B,944,any dead dog can learn how to do a trick with his breed,944,Dead dogs are not able to learn tricks.
C,364,Please turn on the lights? It is shinny,364,Lights are not shinny
C,161,She drove eloquently into the sky.,161,You cannot drive in the sky.
B,942,elephants eat rabbits and rats,942,Elephants are carnivores and eat meat.
C,1412,Jane put a shark on her vegetable.,1412,Sharks don't grow on vegetables.
C,1083,Malls are found in the sky.,1083,Malls are not found in the sky.
C,1901,Turkey is a color,1901,Turkey is not a color
A,702,She's a yogurt now and doesn't do anything fun,702,Yogurt is a food.
C,218,Paper comes from tears cried by the planet,218,A planet does not cry tears
A,574,He ate an interesting book.,574,Books are not edible.
A,184,You are likely to find zebras in an office building,184,Zebras do not live in office buildings
C,276,Outfielders catch the ball from pitchers.,276,Pitchers do not catch balls.
B,409,He fed the dog eucalyptus leaves.,409,Dogs don't eat eucalyptus leaves.
A,531,Plastic is not reusable,531,Plastic is recyclable.
A,1856,a donkey rides a bike,1856,A donkey cannot ride a bike.
A,986,the sun rises in the west,986,The sun rises in the east
B,994,kids do not learn how to speak until they learn to walk,994,People learn how to speak and walk at the same time.
C,1611,I cooked the chicken in the refrigerator.,1611,Chicken cannot be cooked in a refrigerator.
B,1871,she likes to sit on babies from time to time,1871,Babies are not a place to sit.
B,191,The order entered a system by the assistant.,191,An assistant is not a person to enter a system.
A,1418,Volcanoes produce snowballs when they erupt.,1418,Volcanoes do not produce snowballs.
A,365,Joey likes to eat poison,365,Poison is not edible.
A,1075,The dog was clean after playing in the mud.,1075,Playing in the mud will make the dog dirty.
B,1024,humans use gas to wash their clothes,1024,Gas is not used to wash clothes.
B,245,Knives heal children.,245,Knives are not used for healing.
A,1283,There is a car engine on an airplane,1283,Airplanes do not have car engines.
B,529,Racism is over,529,Racism is not over.
C,1093,I took home the gold during class.,1093,Gold cannot be taken home.
B,905,at night it's easy to find sun,905,Sun is not found in the night.
B,899,He returned five octopus to the library,899,Library is not a place to store octopus.
B,832,rats can eat snakes,832,Snakes are not eatable.
A,1120,she wants to drink some water because she is full,1120,"If you are full, you should not drink water."
A,1939,I bought a car in the book store,1939,A book store does not sell cars.
A,1043,people behave softly if they are angry,1043,People behave loudly when they are angry.
A,883,all films are real life,883,Films are fictional.
B,1757,my car is smaller than my bike,1757,A car is much bigger than a bike.
A,1287,He played a game with fairies,1287,Fairies don't exist.
C,1114,"If it is a sunny day, you would got wet.",1114,Sunny days don't make you wet.
A,8,ice hockey is a financial institution,8,Hockey is not a financial institution.
C,1945,He put water without a container in the freezer for 24 hours,1945,Water without a container will not fit in the freefreezer for 24 hours
A,1053,The desert has sand that you can drink.,1053,Sand is not a liquid.
C,1123,My friend runs for 2 inches every day.,1123,No one can run for 2 inches.
